HomePrice,Ratio
410000,0.88489637
405000,0.857957643
305000,0.88097801
235000,0.862692328
395000,0.929304453
420000,0.873957614
240000,0.527672522
374000,0.756406805
330000,0.94514116
171000,0.815508739
280000,1.057794019
475000,0.595264237
469000,0.702202821
465000,0.595754032
397500,0.659917182
418000,0.519999066
305000,0.994120664
326287,1.148732631
208000,0.847018887
272736,0.658447797
201500,1.029059376
495000,0.809467934
530000,0.710529336
259000,0.650937606
285000,1.061712379
217000,0.775835341
242000,0.900733076
358000,0.754121095
258000,0.875100469
317500,0.964243166
251000,1.030038966
555000,0.709059951
325000,0.962773781
695000,0.557386754
223612,0.723753802
207963,0.872651494
216000,0.796569998
154500,0.830855651
216900,0.512652141
203000,0.801467948
156000,0.579427531
300000,0.909549387
280000,1.003100239
360000,0.853876018
310000,0.806202634
220000,0.823835255
190500,0.785957772
398000,0.777141461
195000,0.858120908
254000,1.026120606
570000,0.868080074
425000,0.76179455
485000,1.106610258
235500,0.944651365
295000,0.804896514
630000,0.545794938
561000,0.607835643
271000,1.14416121
345900,1.226773307
522000,0.780733292
250900,0.831835241
345000,0.850610717
415000,0.852080102
310000,1.101059247
141900,0.944651365
538000,0.652896787
235000,0.848488272
220000,0.878529034
237000,0.718366057
250000,0.848978067
250000,0.848978067
214900,0.589386697
189900,0.707100771
279000,0.813712824
247100,1.024487956
189900,0.88391678
224900,0.823508725
236900,0.862365798
298900,0.777304726
194900,0.861222943
250000,0.724080332
450000,0.623019289
505000,0.582039771
265000,0.778447582
250000,0.727508898
275000,0.62628459
282000,0.610611148
305000,0.921794263
379000,0.921141203
382000,0.913957542
199900,1.180732573
264900,1.023671631
264900,0.905794292
301900,0.744978254
285000,0.881141275
275000,1.135181635
275000,1.020406331
260000,0.982365583
359000,0.81812098
235000,0.916243252
330000,0.705794651
257900,0.930447309
280000,1.211099866
450000,0.622856024
270000,1.07738582
494000,0.590203022
240000,1.059753199
232500,0.911998362
336000,0.750365999
90000,0.803100599
500000,0.847508682
143500,1.060406259
395000,0.932569754
215000,0.712978311
510000,0.546284733
450000,0.750202734
247000,1.038038952
256000,0.88979432
196000,1.162120362
271900,1.095344972
239900,0.990039038
710000,0.620407049
700000,0.505958275
379000,1.020406331
250000,0.734855823
259900,0.596243827
257500,0.652896787
246000,0.996406374
480000,0.672815118
341000,0.959345216
315000,0.959998276
272500,0.910039182
325000,0.804243454
309000,0.845876032
355000,0.873631084
520000,0.965059491
350000,0.901222871
800000,0.577141821
170000,0.709713011
260000,0.642284561
275000,1.004079829
685000,0.743508869
232000,0.923426913
289000,0.848814802
290000,0.548896973
175000,0.909712652
173000,0.986120678
270000,1.00897778
265000,0.775182281
352000,0.69077427
450000,0.636243755
255000,0.990365568
218500,0.869222929
235000,0.582692831
306000,0.957875831
385000,0.811263849
415000,0.705468121
325000,1.022528776
452000,0.803590394
386303,0.610611148
525215,0.485223618
630000,1.035426712
592595,1.100732717
750000,0.516407236
525000,0.941386064
365000,1.033630797
330000,0.898284101
378350,0.725386452
462000,0.56669286
583900,0.611100943
450000,0.855018873
950000,0.466284877
503000,0.665304928
275000,1.027753256
225000,1.027426726
155000,0.741059894
380000,0.739917039
375000,0.951508495
241000,0.786774097
236000,0.75852925
315000,0.947263605
299000,1.030038966
242000,0.535345977
235000,0.590692817
705000,1.128977564
500000,0.635264165
440000,0.649958016
160000,1.065140944
238000,0.94318198
495000,0.712978311
239000,1.008161455
240952,1.000487999
239900,0.479999138
176900,0.694529365
259900,0.851753572
259900,0.886365755
245000,1.047508323
174900,0.849467862
182000,0.832978096
249000,1.030692027
174900,0.450284906
200000,1.006528805
190000,0.528978642
450000,1.098610272
265000,0.900733076
215000,1.135834695
265000,0.543509228
250000,0.857141318
125000,0.653060052
229000,0.604407078
223000,0.620570314
239000,0.601468308
232500,0.711019131
185000,1.020079801
157000,0.449142051
108900,0.56734592
101900,0.964569696
139900,0.664651868
275000,0.807182224
505000,0.651100871
315000,0.867590279
505000,1.007834925
142500,0.856651523
151250,0.533060267
217900,1.174365238
164500,0.595264237
190000,1.068732775
270000,0.9477534
217500,0.76408026
270000,0.927345273
197000,0.757059865
205000,0.969141117
161900,0.676733479
173000,0.76375373
475000,0.650121281
275000,1.01485532
215000,1.210610071
700000,0.70122323
445000,0.935998319
765000,0.44032574
345000,0.920651408
350000,0.972569682
580000,0.604570343
325900,1.009467575
197500,0.775019016
261000,1.043100167
360000,0.866447424
450000,0.62595806
175000,1.036896097
194000,0.935345259
445000,0.832325036
320000,1.026283871
320000,1.022692041
320000,0.706284446
320000,0.479019548
262500,0.699100785
277000,0.735345618
350000,1.01518185
300000,0.528488847
360000,0.923753443
585000,0.869386194
375000,0.764243525
290000,0.965222756
50000,0.440815535
165000,0.430856369
297000,0.795916938
179000,0.81812098
276500,0.913957542
510000,0.988896183
360000,1.155916291
700000,0.836080131
189000,0.998365554
377000,1.006202275
200000,0.596407092
260000,0.575345906
575000,0.880814745
650000,0.752488445
325000,0.565223475
325000,0.565223475
530000,0.88881473
126000,0.539590868
112500,0.905957557
204000,0.532243942
123900,0.864161713
124000,0.665141663
227000,0.518366416
117500,0.95003911
227000,0.518366416
112500,0.478529753
126000,0.539590868
111000,0.781712882
