HomePrice,Ratio
209000,0.5778
489000,0.593
650000,0.6196
422000,0.5936
189000,0.3708
690000,0.4941
400000,0.5237
367000,0.55
500000,0.6695
176500,0.4165
234000,0.3416
140000,0.4609
455000,0.7133
727500,0.554
730000,0.5033
455000,0.6071
378000,0.6351
122000,0.4726
195000,0.443
257000,0.5035
260000,0.5001
675000,0.6399
725000,0.3578
225000,0.6939
369000,0.6
77000,0.3816
115000,0.4709
120000,0.3979
147000,0.3998
775000,0.4811
177000,0.5367
207000,0.4589
200000,0.5329
800000,0.5734
326000,0.3642
320000,0.4609
258000,0.4874
280000,0.5377
206000,0.4791
290000,0.5314
245000,0.5644
225000,0.4309
260000,0.3972
226000,0.4896
220000,0.461
210000,0.4457
168000,0.4475
251000,0.4382
287500,0.5215
285000,0.5261
255000,0.391
270000,0.3033
233900,0.274
264900,0.2746
375000,0.4989
550000,0.4554
183000,0.5019
400000,0.6506
540000,0.4083
195000,0.4759
205000,0.4908
187000,0.5214
170000,0.4539
181000,0.4263
115000,0.4514
231000,0.6192
182000,0.6596
210000,0.5838
169000,0.6664
177000,0.6712
174800,0.6655
203000,0.6558
200000,0.6346
173500,0.6384
78500,0.4818
233673,0.3958
121500,0.5887
145000,0.4933
124000,0.5768
89000,0.4249
175000,0.4986
141400,0.5058
78000,0.4849
145000,0.4933
80000,0.4728
140000,0.5109
129000,0.4992
84500,0.4476
143000,0.5002
122000,0.5863
132000,0.4879
121000,0.5911
133000,0.5378
70000,0.5403
110000,0.6502
119000,0.601
145000,0.4933
182500,0.5068
228000,0.4057
140000,0.6298
225000,0.5146
184000,0.6421
189000,0.5716
139000,0.5603
119500,0.6095
220000,0.4349
940000,0.4788
185000,0.6094
240000,0.4906
170000,0.6318
195000,0.6243
245000,0.5349
215000,0.6716
185000,0.6355
139500,0.3141
225000,0.4221
151600,0.389
177000,0.4215
147900,0.3945
149900,0.3232
174000,0.2791
296000,0.3963
510000,0.3352
277000,0.5302
189000,0.5622
261000,0.4358
305000,0.3483
332500,0.3129
290000,0.431
217000,0.6463
290000,0.4466
318000,0.4099
220000,0.5781
230000,0.6048
250000,0.5564
260000,0.5745
460000,0.4348
425000,0.4007
460000,0.417
162000,0.5575
240000,0.573
426000,0.4915
220000,0.3213
158000,0.4112
235000,0.4822
322000,0.3445
275000,0.4973
212500,0.6686
88250,0.5366
178000,0.5321
240000,0.553
345000,0.5322
300000,0.4404
92750,0.5809
148000,0.7308
168000,0.5046
317000,0.6188
185000,0.4054
239000,0.3943
320000,0.3794
383000,0.4171
130000,0.3885
264000,0.4082
165000,0.5079
1000000,0.402
243500,0.4132
167000,0.4324
170000,0.4306
160500,0.454
158000,0.4611
145000,0.5742
134900,0.3814
76000,0.5033
144000,0.5829
114500,0.4579
81500,0.4653
110000,0.4856
74000,0.5079
95000,0.5519
105000,0.5058
675000,0.5262
281000,0.407
427500,0.4904
540000,0.3914
420000,0.3543
167000,0.5221
169000,0.4999
530000,0.3924
860000,0.543
205000,0.5469
260000,0.5409
850000,0.2863
206000,0.6144
162000,0.62
775000,0.3553
500000,0.4409
525000,0.5488
525000,0.4018
940000,0.4843
225000,0.4454
152500,0.5791
351000,0.4211
319000,0.3879
932500,0.4197
66000,0.5043
76000,0.4379
132000,0.556
259900,0.5724
198500,0.5654
200000,0.5302
133000,0.7169
164000,0.5688
299000,0.4516
292500,0.4617
155000,0.576
360000,0.3608
233000,0.5216
170000,0.5828
168600,0.5826
147500,0.4146
147000,0.5001
173500,0.6018
303846,0.5504
300000,0.4825
420000,0.4042
230000,0.5651
345000,0.3941
205000,0.4708
297000,0.5349
155000,0.625
165000,0.5871
233000,0.5942
150000,0.6458
510000,0.4299
325000,0.6313
315000,0.603
129000,0.3712
185000,0.7009
179000,0.7158
440000,0.4142
650000,0.5172
175500,0.5276
250000,0.5053
185000,0.444
197000,0.371
120000,0.6315
299999,0.5538
285000,0.4631
325000,0.4096
295000,0.5968
525000,0.5772
350000,0.4914
700000,0.4532
325000,0.3602
348000,0.5879
320000,0.6162
325550,0.541
410000,0.5763
215000,0.4531
145900,0.3431
175000,0.4827
169900,0.4831
164900,0.5333
174900,0.4528
148000,0.4552
226000,0.4532
222425,0.5019
215000,0.3844
325000,0.5642
250000,0.3013
174000,0.5312
142900,0.5283
189000,0.4766
236500,0.5084
189000,0.5575
202500,0.6673
191000,0.5474
239500,0.5004
364000,0.6053
424000,0.5141
950000,0.3075
950000,0.3951
155000,0.4952
215000,0.357
216000,0.4443
215000,0.4912
171000,0.5581
159000,0.454
315000,0.5453
400000,0.4617
320000,0.7676
146000,0.7271
500000,0.4217
230000,0.4474
250000,0.475
501000,0.5303
268000,0.6853
330000,0.4716
460000,0.645
290000,0.6021
276000,0.6004
460000,0.4485
320000,0.5545
350000,0.4505
275000,0.5615
305000,0.5316
285000,0.6179
269000,0.5796
300000,0.5225
336700,0.4495
495000,0.5311
285000,0.5416
450000,0.468
379000,0.5024
288000,0.6841
305000,0.3932
305000,0.3932
305000,0.392
305000,0.3936
305000,0.3932
305000,0.4785
305000,0.432
305000,0.392
305000,0.4785
245000,0.6442
265000,0.6405
320000,0.5173
310000,0.5026
237500,0.7411
479000,0.4221
328000,0.4688
220000,0.6985
155000,0.3493
187000,0.3784
150000,0.671
121000,0.6679
240000,0.5728
114500,0.709
160000,0.4696
335000,0.4787
330000,0.6868
310000,0.5115
130000,0.6178
386500,0.4258
349000,0.5095
310000,0.472
250000,0.6652
300000,0.5179
300000,0.5193
250000,0.6345
257500,0.5882
292000,0.7057
260000,0.3799
150000,0.7255
285000,0.5753
265000,0.5517
320000,0.4509
315000,0.5149
225000,0.4871
337000,0.458
310000,0.5373
304000,0.4916
280000,0.5642
300000,0.4676
360000,0.4059
299000,0.5076
205000,0.6377
299000,0.4674
344000,0.4192
320000,0.4845
349900,0.4077
320000,0.4722
310000,0.5003
255000,0.5749
377500,0.4981
325000,0.5376
320000,0.5527
325000,0.2914
325000,0.5548
510000,0.4031
390000,0.4369
190000,0.4887
195000,0.255
477000,0.5983
80000,0.6917
265000,0.5647
269000,0.6851
375000,0.5562
250000,0.6076
285000,0.5796
135000,0.7263
316000,0.5279
410000,0.6705
295000,0.5407
192000,0.551
150000,0.6669
205000,0.6908
295000,0.5338
314000,0.5865
250000,0.5991
140000,0.5937
199000,0.7158
250000,0.4959
375000,0.5019
250000,0.3205
199900,0.5501
225000,0.5099
195000,0.5723
270000,0.6678
349000,0.5424
231750,0.6741
210000,0.3774
138000,0.6761
295000,0.3458
255000,0.5819
375000,0.516
292000,0.526
260000,0.5338
225000,0.3951
189000,0.5172
225000,0.3918
325000,0.4704
233000,0.6411
130000,0.5818
310000,0.4742
256000,0.4762
155000,0.6449
175000,0.6164
283000,0.4843
92000,0.7712
335000,0.4545
110000,0.7175
165000,0.5462
127000,0.7584
305000,0.525
275000,0.5722
237000,0.6603
295000,0.5181
369000,0.5124
248500,0.2672
280000,0.5128
215000,0.6071
221053,0.5683
214000,0.5885
245000,0.3901
285000,0.6091
379900,0.3913
278900,0.5504
190000,0.7551
389900,0.463
365000,0.468
294900,0.4326
239900,0.3671
224500,0.6664
425000,0.3492
425000,0.3447
365000,0.4496
685000,0.3317
620000,0.3773
292500,0.4507
175000,0.6767
640000,0.3402
350000,0.3718
315000,0.372
237000,0.4959
229000,0.6419
437000,0.5592
295000,0.383
209500,0.6008
149000,0.596
285000,0.5029
270000,0.4834
219000,0.6041
368500,0.5365
325000,0.4246
194500,0.7502
393000,0.3303
300000,0.3219
197000,0.4046
337000,0.3778
270000,0.4032
205000,0.5731
730000,0.2905
380000,0.3167
269900,0.4858
240000,0.614
315000,0.4113
170000,0.7703
335000,0.361
335000,0.5311
265000,0.4472
400000,0.4385
160000,0.4498
332000,0.4318
285000,0.429
150000,0.6688
360000,0.4786
260000,0.5831
360000,0.3075
385000,0.4048
250000,0.5835
139000,0.6043
185000,0.4831
177000,0.6162
230000,0.5362
210000,0.3491
