HomePrice,Ratio
284900,1.1129
350000,0.86
249900,1.2293
239000,1.0941
246900,0.7391
308000,0.5875
175000,1.1737
149500,1.0583
137000,1.3753
125500,1.2607
136000,1.3854
106500,1.4857
102500,0.978
144500,1.3123
127000,1.2459
148000,1.2731
101000,1.3632
241020,1
234840,1.0621
234840,0.9974
234840,1.0004
222480,1.1211
185400,1.2822
226600,1.0336
241020,0.9863
241020,1.143
317000,1.0088
249500,0.8333
335000,0.4868
63500,0.8081
150000,0.8556
235000,0.8391
240000,1.1602
153000,0.8744
230000,1.2485
278000,0.5201
202500,1.2232
225000,1.1488
375000,0.6996
362000,0.878
188500,1.509
475000,0.5356
475000,0.5356
268000,0.6349
205000,0.5693
204000,0.5631
190000,0.5852
211000,0.5532
255000,0.9998
178500,1.092
89000,1.7028
89000,0.3331
340000,0.6482
240000,1.2487
199900,0.9774
540000,0.6068
299000,0.91
325000,0.6533
323000,0.8589
309000,0.6668
210000,1.1303
129000,0.7439
225000,0.3853
160000,1.2441
145000,1.6045
300000,0.9833
300000,1.2144
199900,1.1121
250000,0.2106
210000,1.0642
279000,0.495
562000,0.5531
174500,1.063
130000,1.3172
271500,0.6807
213000,0.5577
272500,0.7738
299000,1.169
425000,1.1089
205000,1.0932
205000,1.0466
175000,1.8012
317500,0.9126
220000,1.0899
185000,1.448
405000,0.5241
195000,1.3924
200000,0.5575
209000,1.0914
150000,1.3298
166397,0.9747
159900,0.9886
216900,1.0053
235000,0.755
250000,0.9116
140000,1.3976
140000,1.3392
195000,1.0904
204000,0.4945
340000,0.8953
235000,0.8991
268500,0.8393
187000,0.9084
190000,1.1048
42000,1.6277
173000,1.1449
150000,1.0418
190000,1.0267
250000,0.5481
195000,1.247
225000,0.9144
170000,1.4491
540000,0.5427
289000,1.19
212500,1.1889
115000,1.2795
150000,1.376
125000,1.0485
245000,1.1523
258000,0.9398
491500,0.2886
182838,0.6539
140000,0.854
142000,0.842
385000,0.5225
380000,0.6584
385000,0.7033
379900,0.9504
335000,0.5786
417000,0.975
675000,1.1081
355000,0.736
97000,1.4934
194000,0.9111
218000,0.6991
313600,1.0496
169000,0.957
183000,0.8838
149000,0.9883
196000,0.9028
204250,0.8664
23000,0.7938
200000,0.3118
200000,0.6092
200000,0.507
200000,0.3553
171000,1.0308
172200,0.9706
200000,0.7763
325000,0.8867
320000,0.9006
200000,0.9394
120000,1.1607
99900,1.2321
165000,1.0012
140000,0.8792
524000,0.8273
365000,1.1792
330000,1.0927
67000,1.8191
